,File,Date,Description,Original value,Currency,Budget 0,Manual bgt
389,Lag USA20 - Losses,2020-01-01,Electricity,-23.83,USD,Electricity,
390,Lag USA20 - Losses,2020-01-01,Supermarket,-413.66,USD,Supermarket,
391,Lag USA20 - Losses,2020-01-01,Spotify,-5.44,USD,Spotify,
392,Lag USA20 - Losses,2020-01-01,Other MN free,-285.7,USD,Other MN free,
393,Lag USA20 - Losses,2020-01-01,Medicine,-78.78,USD,Medicine,
394,Lag USA20 - Losses,2020-01-01,Other leisure,-221.59000000000003,USD,Other leisure,
395,Lag USA20 - Losses,2020-01-01,Other EK free,-0.0,USD,Other EK free,
396,Lag USA20 - Losses,2020-01-01,Netflix,-19.34,USD,Netflix,
397,Lag USA20 - Losses,2020-01-01,Internet,-50.0,USD,Internet,
398,Lag USA20 - Losses,2020-01-01,Rent,-1709.58,USD,Rent,
399,Lag USA20 - Losses,2020-01-01,Cellphone,-85.32,USD,Cellphone bill,
400,Lag USA20 - Losses,2020-01-01,Booze,-69.28,USD,Booze,
401,Lag USA20 - Losses,2020-01-01,MN kung fu,-88.8,USD,MN kung fu,
402,Lag USA20 - Losses,2020-01-01,Metro,-105.0,USD,Metro fee,
403,Lag USA20 - Losses,2020-01-01,EK studies,-2191.35,USD,EK Concordia,
404,Lag USA20 - Losses,2020-01-01,Credit card,-817.8,USD,Credit card,
405,Lag USA20 - Losses,2020-01-01,Medicine,-11.95,USD,Medicine,
406,Lag USA20 - Losses,2020-01-01,Bar,-123.46000000000001,USD,Bar,
407,Lag USA20 - Losses,2020-02-01,Restaurant,-207.95,USD,Restaurant,
408,Lag USA20 - Losses,2020-02-01,Electricity,-29.45,USD,Electricity,
409,Lag USA20 - Losses,2020-02-01,Supermarket,-193.64,USD,Supermarket,
410,Lag USA20 - Losses,2020-02-01,Spotify,-5.44,USD,Spotify,
411,Lag USA20 - Losses,2020-02-01,Other MN free,-81.32999999999998,USD,Other MN free,
412,Lag USA20 - Losses,2020-02-01,Medicine,-152.34,USD,Medicine,
413,Lag USA20 - Losses,2020-02-01,Other leisure,-97.00999999999999,USD,Other leisure,
414,Lag USA20 - Losses,2020-02-01,Other EK free,-190.0,USD,Other EK free,
415,Lag USA20 - Losses,2020-02-01,Netflix,-12.370000000000001,USD,Netflix,
416,Lag USA20 - Losses,2020-02-01,Internet,-50.0,USD,Internet,
417,Lag USA20 - Losses,2020-02-01,Rent,-1709.58,USD,Rent,
418,Lag USA20 - Losses,2020-02-01,Cellphone,-85.32,USD,Cellphone bill,
419,Lag USA20 - Losses,2020-02-01,Booze,-93.99000000000001,USD,Booze,
420,Lag USA20 - Losses,2020-02-01,MN kung fu,-62.0,USD,MN kung fu,
421,Lag USA20 - Losses,2020-02-01,Metro,-0.0,USD,Metro fee,
422,Lag USA20 - Losses,2020-02-01,EK studies,-0.0,USD,EK Concordia,
423,Lag USA20 - Losses,2020-02-01,Credit card,-0.0,USD,Credit card,
424,Lag USA20 - Losses,2020-02-01,Medicine,-0.0,USD,Medicine,
425,Lag USA20 - Losses,2020-02-01,Bar,-0.0,USD,Bar,
426,Lag USA20 - Losses,2020-02-01,Restaurant,-3.09,USD,Restaurant,
427,Lag USA20 - Losses,2020-01-01,EK studies,-91.88,USD,EK Concordia,
428,Lag USA20 - Losses,2020-01-01,Restaurant,-4.05,USD,Restaurant,
429,Lag USA20 - Losses,2020-02-01,Uber,-10.97,USD,Uber,
430,Lag USA20 - Losses,2020-02-01,Uber,-9.11,USD,Uber,
431,Lag USA20 - Losses,2020-02-01,Other Mid,-69.9,BRL,Other mid,
432,Lag USA20 - Losses,2020-02-01,Restaurant,-29.9,BRL,Restaurant,
433,Lag USA20 - Losses,2020-02-01,Restaurant,-77.7,BRL,Restaurant,
434,Lag USA20 - Losses,2020-02-01,Restaurant,-25.0,BRL,Restaurant,
435,Lag USA20 - Losses,2020-02-01,Booze,-28.0,BRL,Booze,
436,Lag USA20 - Losses,2020-02-01,Booze,-116.0,BRL,Booze,
437,Lag USA20 - Losses,2020-02-01,Turism,-50.0,BRL,Other tourism,
438,Lag USA20 - Losses,2020-02-01,Restaurant,-36.0,BRL,Restaurant,
439,Lag USA20 - Losses,2020-02-01,Restaurant,-32.9,BRL,Restaurant,
440,Lag USA20 - Losses,2020-02-01,Restaurant,-7.0,BRL,Restaurant,
441,Lag USA20 - Losses,2020-02-01,Restaurant,-24.2,BRL,Restaurant,
442,Lag USA20 - Losses,2020-02-01,MN clothes,-55.98,BRL,MN clothes,
443,Lag USA20 - Losses,2020-02-01,Turism,-70.6,BRL,Other tourism,
444,Lag USA20 - Losses,2020-02-01,Turism,-58.5,BRL,Other tourism,
445,Lag USA20 - Losses,2020-02-01,Turism,-16.0,BRL,Other tourism,
446,Lag USA20 - Losses,2020-02-01,Turism,-8.0,BRL,Other tourism,
447,Lag USA20 - Losses,2020-02-01,Turism,-72.6,BRL,Other tourism,
448,Lag USA20 - Losses,2020-02-01,Turism,-54.94,BRL,Other tourism,
449,Lag USA20 - Losses,2020-02-01,Turism,-8.0,BRL,Other tourism,
450,Lag USA20 - Losses,2020-02-01,Turism,-40.0,BRL,Other tourism,
451,Lag USA20 - Losses,2020-02-01,Turism,-24.0,BRL,Other tourism,
452,Lag USA20 - Losses,2020-02-01,Turism,-89.93,BRL,Other tourism,
453,Lag USA20 - Losses,2020-02-01,Turism,-24.0,BRL,Other tourism,
454,Lag USA20 - Losses,2020-02-01,Turism,-18.88,BRL,Other tourism,
455,Lag USA20 - Losses,2020-02-01,Turism,-16.5,BRL,Other tourism,
456,Lag USA20 - Losses,2020-02-01,Turism,-40.0,BRL,Other tourism,
457,Lag USA20 - Losses,2020-02-01,Turism,-81.28,BRL,Other tourism,
458,Lag USA20 - Losses,2020-02-01,Turism,-11.11,BRL,Other tourism,
459,Lag USA20 - Losses,2020-02-01,Turism,-50.06,BRL,Other tourism,
460,Lag USA20 - Losses,2020-02-01,Credit card,-192.5,BRL,Credit card,
461,Lag USA20 - Losses,2020-02-01,Other mid,50.0,BRL,Other mid,
462,Lag USA20 - Losses,2020-02-01,Other mid,23.89,BRL,Other mid,
463,Lag USA20 - Losses,2020-02-01,Other mid,194.0,BRL,Other mid,
464,Lag USA20 - Losses,2020-02-01,Other mid,146.0,BRL,Other mid,
465,Lag USA20 - Losses,2020-02-01,Credit card,-520.68,BRL,Credit card,
466,Lag USA20 - Losses,2020-01-01,Credit card,-1467.53,BRL,Credit card,
467,Lag USA20 - Losses,2020-02-01,FSP,-19.9,BRL,Folha de SP,
468,Lag USA20 - Losses,2020-02-01,PFC,-79.9,BRL,PFC,
469,Lag USA20 - Losses,2020-02-01,Turism,-72.7,BRL,Other tourism,
470,Lag USA20 - Losses,2020-02-01,Turism,-20.0,BRL,Other tourism,
471,Lag USA20 - Losses,2020-01-01,FSP,-19.9,BRL,Folha de SP,
472,Lag USA20 - Losses,2020-01-01,PFC,-59.9,BRL,PFC,
473,Lag USA20 - Losses,2020-01-01,Turism,-440.88,BRL,Other tourism,
474,Lag USA20 - Losses,2020-02-01,Adjustment,192.5,BRL,Adjustment,
475,Lag USA20 - Losses,2020-01-01,Adjustment,520.68,BRL,Adjustment,
476,Lag USA20 - Losses,2020-01-01,Other Mid,-36.67,USD,Other mid,
477,Lag USA20 - Losses,2020-02-01,Other Mid,-50.24,USD,Other mid,
478,Lag USA20 - Losses,2020-01-01,EK clothes,-144.81,USD,EK clothes,
479,Lag USA20 - Losses,2020-02-01,EK clothes,-31.95,USD,EK clothes,
480,Lag USA20 - Losses,2020-01-01,MN clothes,-247.04,USD,MN clothes,
481,Lag USA20 - Losses,2020-01-01,Gifts,-13.96,USD,Other gifts,
482,Lag USA20 - Losses,2020-01-01,401k ,-422.4388221427457,USD,Other pre-tax deductions,
483,Lag USA20 - Losses,2020-01-01,Health care,-164.3576974988011,USD,Health care fee,
484,Lag USA20 - Losses,2020-01-01,Dental and Vision,-21.950156808819195,USD,Dental fee,
485,Lag USA20 - Losses,2020-01-01,Metro,-85.42499870000057,USD,Metro fee,
486,Lag USA20 - Losses,2020-01-01,HSA,-563.8049914200038,USD,Intra-transter,
487,Lag USA20 - Losses,2020-02-01,401k ,-285.84445454913134,USD,Other pre-tax deductions,
488,Lag USA20 - Losses,2020-02-01,Health care,-111.18008250662999,USD,Health care fee,
489,Lag USA20 - Losses,2020-02-01,Dental and Vision,-14.302131825719188,USD,Dental fee,
490,Lag USA20 - Losses,2020-02-01,Metro,-86.70460979795119,USD,Metro fee,
491,Lag USA20 - Losses,2020-02-01,HSA,-381.50028311098527,USD,Intra-transter,
492,Lag USA20 - Losses,2020-01-01,Laundry,-39.375,USD,Laundry,
493,Lag USA20 - Losses,2020-02-01,Laundry,-39.375,USD,Laundry,
494,Lag USA20 - Losses,2020-02-01,Turism,-436.08,USD,Other tourism,
495,Lag USA20 - Losses,2020-03-01,FX adjustment,-57.21,USD,FX adjustment,
496,Lag USA20 - Losses,2020-03-01,EK studies,-1905.0,USD,EK Concordia,
497,Lag USA20 - Losses,2020-03-01,EK kung fu,-82.5,USD,EK kung fu,
498,Lag USA20 - Losses,2020-03-01,MN kung fu,-82.5,USD,MN kung fu,
499,Lag USA20 - Losses,2020-03-01,Restaurant,-578.82,USD,Restaurant,
500,Lag USA20 - Losses,2020-03-01,Supermarket,-567.96,USD,Supermarket,
501,Lag USA20 - Losses,2020-03-01,Other MN free,-51.089999999999996,USD,Other MN free,
502,Lag USA20 - Losses,2020-03-01,Netflix,-71.80999999999999,USD,Netflix,
503,Lag USA20 - Losses,2020-03-01,Other leisure,-53.71,USD,Other leisure,
504,Lag USA20 - Losses,2020-03-01,MN kung fu,-51.55,USD,MN kung fu,
505,Lag USA20 - Losses,2020-03-01,Electricity,-157.29,USD,Electricity,
506,Lag USA20 - Losses,2020-03-01,Medicine,-46.06,USD,Medicine,
507,Lag USA20 - Losses,2020-03-01,Spotify,-5.44,USD,Spotify,
